"","logFC"
"ANKRD17",-0.19516682
"ANKRD18B",-0.28443725
"ANKRD2",0.38136366
"ANKRD20A1",-0.9647057
"ANKRD20A3",-1.05873763
"ANKRD20A9P",0.1194498
"ANKRD26",-0.10099642
"ANKRD27",-0.40354255
"ANKRD28",-0.16658977
"ANKRD29",-0.36195056
"ANKRD30BL",1.57733873
"ANKRD32",-0.05249332
"ANKRD33",4.00756195
"ANKRD33B",-0.13421689
"ANKRD36",0.80550864
"ANKRD36B",0.82878507
"ANKRD37",4.94892684
"ANKRD39",0.14028246
"ANKRD40",-0.05776051
"ANKRD42",-0.72591463
"ANKRD44",-0.48163462
"ANKRD46",-0.04721991
"ANKRD49",-5.509e-05
"ANKRD50",-0.41816019
"ANKRD52",-0.40137277
"ANKRD54",-0.31385768
"ANKRD9",0.12426705
"ANKS1A",-0.12542481
"ANKS3",0.25141834
"ANKS6",0.04132813
"ANKZF1",2.36997148
"ANLN",-0.11387071
"ANO1",0.73704248
"ANO10",-0.26032074
"ANO2",-0.26357496
"ANO3",0.11733541
"ANO6",0.11726128
"ANO7",2.34522009
"ANO8",0.73364331
"ANP32A",0.35842763
"ANP32AP1",0.40797073
"ANP32B",-0.03077049
"ANP32C",-0.37621339
"ANP32E",0.19682153
"ANPEP",0.03685
"ANTXR2",-0.24435049
"ANXA1",0.17223921
"ANXA11",-0.23853481
"ANXA2",0.46842568
"ANXA2P1",0.44710142
"ANXA2P2",0.50317511
"ANXA2P3",0.19185379
"ANXA2R",-0.31112788
"ANXA3",0.35903978
"ANXA4",-0.14070384
"ANXA5",0.35547807
"ANXA6",-0.11385029
"ANXA7",-0.37467185
"AOX1",0.32058171
"AP1AR",-0.68919815
"AP1B1",0.10155012
"AP1G1",-0.06331283
"AP1G2",0.08921042
"AP1M1",0.01499379
"AP1S1",-0.29739533
"AP1S2",-0.10551979
"AP1S3",-0.41511444
"AP2A1",0.06694833
"AP2A2",-0.05168457
"AP2B1",0.2406899
"AP2M1",0.271652
"AP2S1",-0.10738322
"AP3B1",-0.16768701
"AP3D1",-0.38090717
"AP3M1",-0.3366328
"AP3M2",-0.22532267
"AP3S1",0.22370326
"AP3S2",0.05612362
"AP4B1",-0.12783951
"AP4E1",0.26918888
"AP4M1",0.19533037
"AP4S1",0.29131581
"AP5B1",-0.19415028
"AP5M1",-0.17211367
"AP5S1",-0.27697622
"AP5Z1",-0.33984832
"APAF1",0.58930583
"APBA1",0.15129017
"APBA2",1.66041763
"APBA3",0.52507929
"APBB1",0.56267468
"APBB2",0.17954777
"APBB3",1.86363671
"APC",-0.32459496
"APCDD1",-2.21653125
"APCDD1L-AS1",0.87641851
"APCDD1L",0.9200236
"APEH",-0.39453566
"APEX1",-0.70547471
"APEX2",-0.50184024
"APH1A",-0.21960105
"APH1B",0.29857451
"API5",-0.1095834
"APIP",-0.37772871
"APITD1-CORT",-0.85474219
"APITD1",-0.73146846
"APLF",0.009537
"APLN",1.1737864
"APLP2",0.06547966
"APMAP",0.27314497
"APOA1BP",0.03372911
"APOB",2.36840348
"APOBEC3B",-0.01823382
"APOBEC3C",-0.4955525
"APOBEC3D",-0.35068955
