"","logFC"
"MBTD1",0.17091259
"MBTPS1",0.03881111
"MBTPS2",0.17466873
"MC1R",0.37418731
"MCAM",0.0083372
"MCAT",-0.11341109
"MCC",-0.44232477
"MCCC1",0.14228468
"MCCC2",-0.37444671
"MCEE",-0.55148275
"MCFD2",0.03892333
"MCL1",-0.09494931
"MCM10",-0.53185024
"MCM2",-0.22780269
"MCM3",-0.38506173
"MCM3AP-AS1",-0.37473919
"MCM3AP",-0.14528078
"MCM4",-0.28746945
"MCM5",-0.1271779
"MCM6",-0.39060942
"MCM7",-0.38466001
"MCM8",-0.21930676
"MCM9",-0.1245154
"MCMBP",-0.22873972
"MCOLN1",0.2540703
"MCPH1",-0.00365689
"MCRS1",-0.11093681
"MCTP1",-1.08718096
"MCTS1",-0.35007985
"MCTS2P",-0.07801735
"MCU",-0.42346095
"MCUR1",-0.22353476
"MDC1",-0.03277893
"MDFI",1.22259695
"MDFIC",-0.26115985
"MDH1",-0.0150961
"MDH2",-0.15613474
"MDK",-0.05700628
"MDM1",-0.0622062
"MDM2",-0.22735846
"MDM4",0.12074857
"MDN1",-0.237142
"MDP1",0.39853008
"ME1",-0.44942947
"ME2",-0.40813138
"ME3",0.61306486
"MEA1",0.7794159
"MEAF6",0.18097313
"MECOM",0.01455273
"MECP2",0.50467161
"MECR",-0.03429968
"MED1",-0.06137309
"MED10",-0.19631504
"MED11",0.11525148
"MED12",0.00373571
"MED13",0.25228691
"MED13L",0.01838566
"MED14",-0.10270459
"MED15",0.22264338
"MED16",0.35933406
"MED17",-0.37687023
"MED18",-0.11963899
"MED19",-0.24704952
"MED20",-0.33381541
"MED21",-0.15800984
"MED22",-0.21260599
"MED23",0.15623054
"MED24",-0.12810521
"MED25",-0.119588
"MED26",0.54890122
"MED27",-0.18361914
"MED28",-0.10055612
"MED29",-0.18357494
"MED30",0.14642856
"MED31",0.16102539
"MED4",-0.05101292
"MED6",-0.02347331
"MED7",-0.28921313
"MED8",-0.37167403
"MED9",-0.19938972
"MEDAG",-1.06342666
"MEF2A",0.14552871
"MEF2B",0.65702939
"MEF2BNB-MEF2B",0.05482467
"MEF2BNB",-0.22881726
"MEF2C",-0.5704425
"MEF2D",0.18744766
"MEG3",0.46229613
"MEG8",0.01131483
"MEG9",0.45204504
"MEGF6",0.55992476
"MEGF8",0.51423572
"MEGF9",-0.22206448
"MEI1",0.67147536
"MEIOB",0.94517988
"MEIS1",-0.13510017
"MEIS2",0.29812215
"MEIS3P1",-0.31521119
"MELK",-0.10358981
"MEMO1",-0.04744245
"MEN1",-0.20756588
"MEOX2",-0.1730974
"MEPCE",-0.16627923
"MERTK",-0.9413402
"MESDC1",-0.41397233
"MESDC2",-0.07258533
"MEST",1.01407745
"MET",-0.17397028
"METAP1",-0.31440373
"METAP1D",-0.24648454
"METAP2",-0.23663065
"METRN",-0.48300265
"METRNL",0.53657558
"METTL1",0.17193585
"METTL10",0.06465838
"METTL12",-0.79126901
"METTL13",-0.40215028
"METTL14",0.00036463
"METTL15",0.2931659
"METTL16",-0.58900637
"METTL17",-0.32299251
"METTL18",-0.28838104
"METTL20",0.13004082
"METTL21A",-0.56611753
"METTL21B",1.24776725
"METTL22",-0.1702421
"METTL23",0.40008472
"METTL25",0.02777365
"METTL2A",-0.18579003
"METTL2B",-0.44100811
"METTL3",-0.3979816
"METTL4",-0.17264225
"METTL5",-0.58771349
"METTL6",0.10265194
"METTL7A",-0.59785831
"METTL8",-0.34438782
"METTL9",0.06457787
"MEX3A",-0.45387526
"MEX3B",-0.62668031
"MEX3C",-0.32390804
"MEX3D",0.28817566
"MFAP1",0.53902713
"MFAP2",0.44747169
"MFAP3",0.01766915
"MFF",-0.30102402
"MFGE8",0.26195468
"MFHAS1",-0.08174137
"MFI2",-0.95002173
"MFN1",-0.27505488
"MFN2",-0.09380957
"MFNG",0.0925092
"MFRP",-0.95899004
"MFSD1",0.23006714
"MFSD10",0.67603174
"MFSD11",-0.12397151
"MFSD12",0.47157118
"MFSD2A",0.45336722
"MFSD3",0.01654192
"MFSD5",-0.43213953
"MFSD6",0.03652563
"MFSD7",0.69910847
"MFSD8",0.02679487
"MFSD9",-0.26606089
"MGA",0.03545816
"MGARP",0.91024457
"MGAT1",0.42729499
"MGAT2",0.00068577
"MGAT3",7.01342073
"MGAT4A",-0.32074739
"MGAT4B",0.15794886
"MGAT5",0.19894695
"MGC27345",-0.02298084
"MGC57346",0.02668711
"MGC72080",-0.22336878
"MGEA5",0.4574696
"MGLL",0.42693354
"MGME1",-0.27041964
"MGMT",0.35793011
"MGP",-0.63408064
"MGRN1",0.40332609
"MGST1",-0.71283974
"MGST2",-0.01694185
"MGST3",0.26662542
"MIA-RAB4B",0.06365268
"MIA3",-0.08449552
"MIAT",0.49365319
"MIATNB",0.14290336
"MIB1",-0.16544334
"MIB2",1.07673178
"MICA",-0.07145458
"MICAL1",-0.42610113
"MICAL2",-0.03788372
"MICAL3",-0.17718396
"MICALL1",-0.13403454
"MICALL2",0.17536717
"MICB",-0.29070114
"MICU1",-0.00434663
"MICU2",0.12259158
"MICU3",0.53383614
"MID1",-0.45844049
"MID1IP1",-0.62513636
"MID2",-0.12179374
"MIDN",0.08652626
"MIEF1",-0.23277226
"MIEF2",0.42897879
"MIEN1",-0.24624885
"MIER1",0.07392709
"MIER2",-0.01974184
"MIER3",-0.11006067
"MIF-AS1",1.974003
"MIF",0.94992567
"MIF4GD",-0.57794917
"MIIP",-0.80110128
"MILR1",-0.02305978
"MINA",-0.26113949
"MINK1",-0.07036408
"MINOS1-NBL1",-0.26382918
"MINOS1",-0.32946417
"MINPP1",0.03592499
"MIOS",-0.00277631
"MIPEP",-0.20231508
"MIPOL1",-0.4208741
"MIR100HG",0.22121723
"MIR1181",0.15995034
"MIR1229",0.28396788
"MIR1244-1",0.46600588
"MIR1244-2",0.4662956
"MIR1244-3",0.4662956
"MIR126",0.45910971
"MIR1291",0.49168483
"MIR1304",0.06980137
"MIR1307",-0.63696129
"MIR137HG",0.65043116
"MIR155HG",0.42871554
"MIR17HG",-0.10531601
"MIR198",0.65564381
"MIR210HG",5.49831446
"MIR22HG",-0.1394713
"MIR3064",0.14855576
"MIR3198-2",0.23864792
"MIR31HG",0.3280157
"MIR3609",0.23651363
"MIR3648-1",0.73935454
"MIR3652",0.53776319
"MIR3655",-0.47347598
"MIR3658",-0.56416368
"MIR4426",-0.05054383
"MIR4435-1HG",-0.42116365
"MIR4458HG",0.52896567
"MIR4647",-0.51899277
"MIR4707",0.67861639
"MIR4709",-0.0392354
"MIR4721",-0.43172389
"MIR503HG",1.02998355
"MIR5047",0.11348038
"MIR548AA1",-0.11358681
"MIR600HG",-0.77236293
"MIR612",0.27733435
"MIR621",-0.03298307
"MIR632",-0.84929297
"MIR6501",-0.1900577
"MIR6515",0.46177293
"MIR663A",1.19719279
"MIR663AHG",0.8747882
"MIR671",0.11563327
"MIR6728",1.04465856
"MIR6747",-0.33212153
"MIR6758",-0.47276165
"MIR6764",0.09537511
"MIR6779",0.08349998
"MIR6787",2.45784437
"MIR6797",0.41778509
"MIR6798",-0.00611988
"MIR6801",0.7982191
"MIR6805",-0.06786767
"MIR6819",0.27534638
"MIR6826",-0.04491697
"MIR6828",0.36208407
"MIR6835",-0.30017306
"MIR6852",-0.19674487
"MIR6891",1.52014286
"MIR6892",0.68503491
"MIR7111",-0.19789457
"MIR7113",-0.1768335
"MIR7705",0.36379287
"MIR99AHG",-0.56761215
"MIRLET7BHG",0.44073506
"MIS12",-0.20295549
"MIS18A",-0.42673934
"MIS18BP1",-0.0034167
"MITD1",-0.08777596
"MITF",-0.39564346
"MKI67",0.0831308
"MKKS",-0.17474567
"MKL1",-0.02452636
"MKL2",-0.32948125
"MKLN1",0.3592702
"MKNK1",0.01214373
"MKNK2",0.5538362
"MKRN1",0.34654661
"MKRN2",-0.29479157
"MKS1",0.2910678
"MLEC",-0.09049479
"MLF1",0.64404644
"MLF2",0.24459064
"MLH1",-0.00437195
"MLH3",0.69330433
"MLIP",0.69463608
"MLKL",-0.63904099
"MLLT1",0.19355285
"MLLT10",0.07223071
"MLLT11",-0.54988294
"MLLT3",1.44985248
"MLLT4",-0.03259308
"MLLT6",-0.04052363
"MLST8",-0.09244951
"MLX",0.03803323
"MLXIP",0.44411813
"MLYCD",-0.33729399
"MMAA",-0.38224872
"MMAB",-0.02793455
"MMACHC",0.49112962
"MMADHC",-0.09792238
"MMD",0.09123136
"MME",1.32552753
"MMEL1",3.16536029
"MMGT1",-0.06347873
"MMP1",-1.22431765
"MMP11",-0.63040558
"MMP14",-0.42702855
"MMP15",-1.35245801
"MMP16",-0.47652715
"MMP17",0.70996165
"MMP2",0.28626264
"MMP24-AS1",0.67776181
"MMRN1",0.11048945
"MMRN2",-0.00215296
"MMS19",0.26519291
"MMS22L",-0.19938761
"MN1",0.89784327
"MNAT1",-0.21766061
"MND1",0.15302779
"MNS1",-0.41461723
"MNT",1.01096903
"MOAP1",0.21586879
"MOB1A",-0.06577948
"MOB1B",-0.25003854
"MOB2",-0.07396552
"MOB3A",0.83613725
"MOB3C",0.01205188
"MOB4",-0.04857319
"MOCOS",-0.80511837
"MOCS1",-0.04305688
"MOCS2",-0.11325678
"MOCS3",-0.0721049
"MOGS",-0.21602071
"MON1A",-0.3828325
"MON1B",-0.33941479
"MON2",0.16370877
"MORC2",-0.47855562
"MORC3",0.12612458
"MORC4",-0.26074497
"MORF4L1",0.07027176
"MORF4L2",0.01862549
"MORN2",0.51970937
"MORN4",-0.75253624
"MOSPD1",-0.365219
"MOSPD2",0.19146477
"MOSPD3",1.09896063
"MOV10",0.46031298
"MOV10L1",0.59485353
"MPC1",0.08319951
"MPC2",0.1865534
"MPDU1",0.11750517
"MPDZ",0.0449103
"MPG",0.4760039
"MPHOSPH10",-0.69030786
"MPHOSPH6",-0.3092613
"MPHOSPH8",-0.49284265
"MPHOSPH9",-0.14466942
"MPI",1.81802648
"MPLKIP",-0.48891715
"MPND",-0.00929773
"MPP1",-0.64028139
"MPP2",4.89561347
"MPP3",0.14668082
"MPP4",0.78185852
"MPP5",-0.63191086
"MPP6",-0.02023031
"MPP7",-1.07680248
"MPPE1",-0.43385609
"MPRIP",0.01750245
"MPST",-0.04633913
"MPV17",-0.19763094
"MPV17L2",-1.45776772
"MPZL1",-0.32425136
"MPZL2",0.67931682
"MPZL3",0.06923903
"MR1",0.48644533
"MRAS",-0.75244117
"MRC2",0.52260407
"MRE11A",-0.70937672
"MREG",-0.08299841
"MRFAP1",-0.27458337
"MRFAP1L1",-0.19734266
"MRGBP",0.65094915
"MRI1",0.84324679
"MRM1",-0.81802855
"MROH1",0.03688984
"MROH7-TTC4",-0.16021119
"MRPL1",-0.54094157
"MRPL10",-0.18645933
"MRPL11",-0.03663504
"MRPL12",-0.39383279
"MRPL13",-0.14204967
"MRPL14",-0.46718944
"MRPL15",-0.61444803
"MRPL16",0.06490378
"MRPL17",0.40804307
"MRPL18",-0.31491933
"MRPL19",0.04538764
"MRPL2",-0.10503714
"MRPL20",-0.1483456
"MRPL21",0.02225134
"MRPL22",-0.74353529
"MRPL23",-0.03362836
"MRPL24",-0.51196021
"MRPL27",-0.04608543
"MRPL28",0.39652088
"MRPL3",-0.49416358
"MRPL30",-0.48190092
"MRPL32",-0.47517948
"MRPL33",-0.01604151
"MRPL34",-0.47023033
"MRPL35",-0.38611877
"MRPL36",-0.41112067
"MRPL37",-0.11497359
"MRPL38",-0.26586437
"MRPL39",0.1176152
"MRPL4",-0.39753557
"MRPL40",-0.15045972
"MRPL41",0.15484675
"MRPL42",-0.33674991
"MRPL43",0.19478518
"MRPL44",-0.150777
"MRPL45",-0.16616069
"MRPL45P2",0.22701581
"MRPL46",-0.38209189
"MRPL47",-0.27408035
"MRPL48",-0.15239175
"MRPL49",-0.39194179
"MRPL50",-0.61860639
"MRPL51",-0.16001936
"MRPL52",-0.40199794
"MRPL53",0.41086116
"MRPL54",0.36375096
"MRPL55",0.25733149
"MRPL57",-0.10610691
"MRPL9",-0.20626512
"MRPS10",-0.39879935
"MRPS11",-0.14040778
"MRPS12",-0.56712861
"MRPS14",-0.28401431
"MRPS15",0.02420318
"MRPS16",-0.31097815
"MRPS17",-0.33738136
"MRPS18A",-0.42828512
"MRPS18B",-0.54201182
"MRPS18C",-0.67200882
"MRPS2",-0.41448622
"MRPS21",-0.15562424
"MRPS22",-0.24594058
"MRPS23",-0.19318596
"MRPS24",-0.00859133
"MRPS25",-0.27016572
"MRPS26",-0.24731482
"MRPS27",-0.32808398
"MRPS28",-0.3172884
"MRPS30",-0.66889054
"MRPS31",-0.27477999
"MRPS31P5",-0.55287185
"MRPS33",-0.11436132
"MRPS34",0.12008991
"MRPS35",-0.34179944
"MRPS36",-0.50407016
"MRPS5",-0.2320357
"MRPS6",-0.03457457
"MRPS7",-0.5320072
"MRPS9",-0.0724378
"MRRF",-0.33783843
"MRS2",0.00819481
"MRTO4",-0.35142699
"MSANTD2",0.35398682
"MSANTD3-TMEFF1",0.54431309
"MSANTD3",0.60479263
"MSANTD4",-0.36006013
"MSH2",-0.30660358
"MSH3",0.46638439
"MSH5-SAPCD1",0.04279474
"MSH5",0.15322064
"MSH6",-0.1641041
"MSI2",-0.22370147
"MSL1",0.20622335
"MSL2",-0.1211773
"MSL3",-0.29357964
"MSL3P1",0.25998244
"MSMO1",-0.05614381
"MSMP",0.03320315
"MSN",0.12915196
"MSRA",0.02360735
"MSRB1",0.04043125
"MSRB2",0.21172615
"MSRB3",-0.18515178
"MSS51",0.69132775
"MST1",2.19544343
"MST1R",2.64390884
"MST4",-0.23861918
"MSTO1",-0.21016364
"MSTO2P",-0.08189372
"MT1A",-0.08851663
"MT1E",0.11211276
"MT1L",1.40125943
"MT1M",-0.09494353
"MT1X",0.4277044
"MT2A",0.54221439
"MT3",10.38862931
"MTA1",0.06570931
"MTA2",-0.53565627
"MTA3",0.11710052
"MTAP",-0.65755375
"MTBP",0.0508593
"MTCH1",0.17241465
"MTCH2",0.3728408
"MTCL1",-0.23602607
"MTCP1",0.09447412
"MTDH",-0.54992584
"MTERF1",-0.00045825
"MTERF2",-0.55925725
"MTERF3",-0.13142351
"MTERF4",-0.09641246
"MTF1",-0.00074247
"MTF2",-0.31250061
"MTFMT",-0.28483497
"MTFP1",1.10949982
"MTFR1",-0.6684391
"MTFR1L",0.0961177
"MTFR2",0.36768926
"MTG1",-0.00232868
"MTG2",-0.23319502
"MTHFD1",-0.78136957
"MTHFD1L",0.35247533
"MTHFD2",-0.45228033
"MTHFD2L",0.24263955
"MTHFR",-0.03687392
"MTHFS",0.32400927
"MTHFSD",0.1553219
"MTIF2",-0.28134824
"MTIF3",0.19332043
"MTL5",0.7096779
"MTM1",-0.15791482
"MTMR1",-0.10007742
"MTMR10",-0.39334992
"MTMR11",0.83300873
"MTMR12",0.12028372
"MTMR14",-0.29766893
"MTMR2",-0.21957772
"MTMR3",0.28660577
"MTMR4",0.01699151
"MTMR6",-0.34064336
"MTMR9",-0.02881971
"MTMR9LP",-0.4330878
"MTO1",-0.39037182
"MTOR",-0.2284741
"MTPAP",-0.39345463
"MTPN",-0.19317087
"MTR",0.86818839
"MTRF1",0.21038078
"MTRF1L",0.14738178
"MTRR",-0.71091581
"MTSS1",-0.34196223
"MTSS1L",-0.05423661
"MTURN",0.01066705
"MTUS1",-0.32311052
"MTX1",-0.00337793
"MTX2",0.12435935
"MTX3",0.00232312
"MUC1",3.59608058
"MUL1",-0.04845582
"MUM1",0.04710756
"MUS81",-0.13991331
"MUT",0.22049149
"MUTYH",0.19461316
"MVB12A",0.05274279
"MVB12B",-0.24887977
"MVD",-0.4936417
"MVK",-0.50707105
"MVP",-0.29887998
"MX1",0.22052579
"MXD1",0.26126693
"MXD3",0.37778336
"MXD4",-0.4833931
"MXI1",3.76362517
"MXRA7",0.52213298
"MYADM",0.14664106
"MYBBP1A",-0.28606819
"MYBL1",0.03701188
"MYBL2",-0.01065275
"MYC",0.04803555
"MYCBP",-0.1006122
"MYCBP2",-0.14153944
"MYCBPAP",1.32885369
"MYCL",0.37192466
"MYCT1",0.54031094
"MYD88",-0.36888304
"MYEF2",0.08048181
"MYEOV",-0.9767817
"MYEOV2",0.00246236
"MYH10",0.47723465
"MYH15",1.13694002
"MYH9",0.33409845
"MYL12A",0.22349316
"MYL12B",0.06165463
"MYL5",0.45192849
"MYL6",0.37363658
"MYL6B",0.63240969
"MYL9",-0.64260669
"MYLIP",-0.37183308
"MYLK",0.10515773
"MYNN",-0.25851975
"MYO10",-0.58655056
"MYO15B",1.00704351
"MYO18A",0.23399865
"MYO18B",7.42172739
"MYO19",0.03540107
"MYO1B",1.03038816
"MYO1C",0.0969319
"MYO1D",0.03273966
"MYO1E",0.16293171
"MYO5A",-0.09094206
"MYO5B",0.92300643
"MYO5C",0.58859055
"MYO6",0.34625769
"MYO7A",0.84181928
"MYO9A",0.57454245
"MYO9B",0.22455015
"MYOF",0.20565485
"MYOM3",0.61541896
"MYPN",1.00465535
"MYPOP",-0.72330421
"MYRIP",-0.3874399
"MYSM1",0.04618382
"MYZAP",-0.5449191
"MZF1",0.4270042
"MZT1",0.24156387
"MZT2A",0.87095484
"MZT2B",0.58257689
"N4BP1",-0.05325921
"N4BP2",-0.03829076
"N4BP2L2-IT2",0.11975039
"N4BP2L2",-0.27613379
"N4BP3",5.78745305
"N6AMT1",-0.56403523
"N6AMT2",0.205143
"NAA10",-0.35405475
"NAA15",-0.50369743
"NAA16",0.03852285
"NAA20",-0.32931186
"NAA25",-0.37410948
"NAA30",-0.17908304
"NAA35",-0.00769029
"NAA38",-0.18693057
"NAA40",-0.02774454
"NAA50",-0.5847118
"NAA60",-0.39106056
"NAAA",0.19679259
"NAALADL1",1.38048312
"NAALADL2",1.05287872
"NAB1",-0.01742744
"NAB2",0.70308494
"NABP1",-0.00577689
"NABP2",-0.35254492
"NACA",-0.03418646
"NACA2",0.00336318
"NACAD",0.95333663
"NACAP1",-0.16831576
"NACC1",-0.10629137
"NACC2",-0.45883477
"NADK",-0.2684875
"NADK2",0.16069232
"NADSYN1",0.51010827
"NAE1",-0.66954495
"NAF1",-0.29384141
"NAGA",0.1577947
"NAGK",0.08096762
"NAGLU",-0.12040467
"NAGPA",0.38064331
"NAGS",0.96023577
"NAIF1",-0.15020954
"NAIP",0.05257086
"NALCN",0.49849053
"NAMPT",0.32420011
"NANP",-0.13175678
"NANS",0.02267691
"NAP1L1",0.08344208
"NAP1L4",-0.13493018
"NAP1L5",-0.07646807
"NAPA",-0.10843243
"NAPB",-0.07196248
"NAPEPLD",-0.52474397
"NAPG",-0.15621789
"NAPRT",-0.21490859
"NARF",1.16946417
"NARFL",-0.05486926
"NARR",0.12914342
"NARS",-0.53116751
"NARS2",-0.36427127
"NASP",-0.34017906
"NAT1",-0.33017011
"NAT10",0.41117668
"NAT14",-0.33921389
"NAT6",0.57381562
"NAT9",-0.29978867
"NATD1",0.58969631
"NAV1",0.58789236
"NAV2",0.26625679
"NAV3",-0.39276523
"NBAS",0.42757199
"NBEA",-0.0575155
"NBEAL1",0.10536116
"NBEAL2",-0.16537201
"NBL1",-0.2322064
"NBN",-0.21160086
"NBPF1",0.30467922
"NBPF10",0.00749266
"NBPF11",0.10550399
"NBPF12",0.00760917
"NBPF14",-0.27238392
"NBPF15",-0.19015227
"NBPF20",-0.06520244
"NBPF25P",-0.11069283
"NBPF3",0.58687235
"NBPF8",-0.10715908
"NBPF9",-0.15083163
"NBR1",-0.12434655
"NCAM2",-0.56480985
"NCAPD2",-0.14999291
"NCAPD3",-0.20145581
"NCAPG",-0.25458262
"NCAPG2",-0.07170124
"NCAPH",-0.25508302
"NCAPH2",0.39983865
"NCBP1",-0.05066728
"NCBP2-AS2",0.10102197
"NCBP2",-0.12077393
"NCDN",-0.33491971
"NCEH1",-0.05919789
"NCK1",-0.22708305
"NCK2",-0.22780576
"NCKAP1",-0.28594323
"NCKAP5",0.29685909
"NCKAP5L",-0.13228062
"NCKIPSD",1.41563919
"NCL",-0.56719963
"NCLN",0.13974058
"NCOA1",-0.13268089
"NCOA2",-0.16535829
"NCOA3",-0.09235023
"NCOA4",-0.25161578
"NCOA5",0.24721432
"NCOA6",0.52203088
"NCOA7",-0.67424081
"NCOR1",-0.06486755
"NCOR2",0.56975564
"NCR3LG1",-0.60043087
"NCS1",0.02398197
"NCSTN",0.66393592
"NDC1",-0.00628553
"NDC80",-0.21918053
"NDE1",-0.29828466
"NDEL1",-0.01128096
"NDFIP1",-0.13215244
"NDFIP2",-0.11052199
"NDN",1.52624929
"NDNF",6.04419658
"NDNL2",0.08962694
"NDOR1",0.29323332
"NDP",0.01511917
"NDRG1",1.66931258
"NDRG3",-0.39543365
"NDRG4",-0.86339851
"NDST1",-0.25869017
"NDST2",-0.39066121
"NDUFA1",0.08567409
"NDUFA10",0.07687678
"NDUFA11",0.08239246
"NDUFA12",-0.33815721
"NDUFA13",0.27584201
"NDUFA2",0.23094089
"NDUFA3",0.22578226
"NDUFA4",-0.05572363
"NDUFA4L2",4.79055107
"NDUFA5",0.41126676
"NDUFA6-AS1",0.06721693
"NDUFA6",-0.02367726
"NDUFA7",-0.24157945
"NDUFA8",-0.35425849
"NDUFA9",-0.48128204
"NDUFAB1",-0.16807919
"NDUFAF1",-0.10737453
"NDUFAF2",-0.49270661
"NDUFAF3",0.28948432
"NDUFAF4",-1.09270229
"NDUFAF5",-0.36888432
"NDUFAF6",-0.65573787
"NDUFAF7",-0.03670745
"NDUFB1",0.08013785
"NDUFB10",-0.08952569
"NDUFB11",0.1799113
"NDUFB2",0.20344282
"NDUFB3",-0.10376187
"NDUFB4",0.13890131
"NDUFB5",-0.05658204
"NDUFB6",-0.17701423
"NDUFB7",0.20200658
"NDUFB8",1.12774883
"NDUFB9",-0.19830096
"NDUFC1",0.60805305
"NDUFC2-KCTD14",0.04905982
"NDUFC2",0.06802858
"NDUFS1",-0.27045643
"NDUFS2",-0.29239934
"NDUFS3",-0.24688318
"NDUFS4",0.09940987
"NDUFS5",-0.14567225
"NDUFS6",-0.32525271
"NDUFS7",0.17934508
"NDUFS8",-0.23854541
"NDUFV1",0.20600279
"NDUFV2",-0.3807597
"NDUFV3",-0.42811586
"NEAT1",0.36555754
"NEB",1.76298163
"NEBL",0.61207824
"NECAB3",0.14651278
"NECAP1",-0.43243494
"NECAP2",0.15986645
"NEDD1",-0.04390357
"NEDD4",0.11178865
"NEDD4L",1.60826131
"NEDD8-MDP1",0.0433675
"NEDD8",-0.01673578
"NEDD9",-0.27854005
"NEFH",1.39147519
"NEGR1",0.53372457
"NEIL1",0.79358335
"NEIL2",0.3210134
"NEIL3",-0.16276043
"NEK1",0.06150357
"NEK11",1.23901358
"NEK2",0.20435109
"NEK3",-0.3590883
"NEK4",0.18069323
"NEK6",-0.0824858
"NEK7",0.00566075
"NEK9",0.02303973
"NELFA",0.00097772
"NELFB",0.22858629
"NELFCD",-0.297858
"NELFE",0.09463002
"NEMF",-0.20107068
"NENF",0.69902763
"NES",-0.41581019
"NET1",-0.2553695
"NETO2",-0.75222153
"NEU1",-0.23377413
"NEU3",-0.39210841
"NEURL1",1.68439216
"NEURL1B",0.33812802
"NEURL2",1.02196254
"NEURL4",-0.38990206
"NEXN",-0.58942235
"NF1",0.38692365
"NF2",-0.26044671
"NFAT5",0.09747806
"NFATC1",0.54033762
"NFATC2",0.26620116
"NFATC2IP",0.08937094
"NFATC3",-0.1942679
"NFATC4",0.9946677
"NFE2L1",0.58536001
"NFE2L2",-0.30083108
"NFE2L3",0.51956695
"NFIA",-0.12891765
"NFIB",0.00250604
"NFIC",0.11131863
"NFIL3",1.13170364
"NFIX",0.86337849
"NFKB1",-0.18539917
"NFKB2",1.01029133
"NFKBIA",-0.10882322
"NFKBIB",-0.14770071
"NFKBIE",-0.01461131
"NFKBIL1",0.17240871
"NFKBIZ",0.40409778
"NFRKB",0.2457973
"NFS1",-0.08875325
"NFU1",-0.07772029
"NFX1",-0.13361544
"NFXL1",-0.23536174
"NFYA",-0.19425279
"NFYB",0.02856861
"NFYC-AS1",0.74873018
"NFYC",0.21186302
"NGDN",-0.0575269
"NGEF",0.27763375
"NGFRAP1",-0.03504562
"NGLY1",0.52275427
"NGRN",-0.25663627
"NHEJ1",-0.2794695
"NHLRC1",-0.15889283
"NHLRC2",-0.03001731
"NHLRC3",0.01491088
"NHP2",-0.27286067
"NHP2L1",-0.02111842
"NHSL1",-0.19847134
"NHSL2",-0.32421835
"NICN1",-0.35419508
"NID1",0.58924755
"NID2",-0.37729642
"NIF3L1",-0.24146502
"NIFK",-0.42098033
"NIM1K",7.61398661
"NIN",-0.0001812
"NINJ1",0.01946237
"NINL",0.04950851
"NIP7",-0.38521214
"NIPA1",0.01511346
"NIPA2",-0.39247192
"NIPAL1",0.81126571
"NIPAL2",0.08272676
"NIPAL3",0.07073171
"NIPBL",0.36634592
"NIPSNAP1",0.08635937
"NIPSNAP3A",0.5279933
"NISCH",0.46037017
"NIT1",0.17418401
"NIT2",0.3166606
"NKAP",0.33365029
"NKAPL",1.54141551
"NKIRAS1",-1.03258879
"NKIRAS2",-0.23570899
"NKRF",-0.61889677
"NKTR",0.14820402
"NLE1",-0.06384352
"NLGN1",-0.30562816
"NLGN2",0.28056347
"NLK",-0.1596629
"NLN",-0.17044365
"NLRC5",-0.1312364
"NLRP1",-0.12595382
"NLRP2",0.0513406
"NLRX1",0.57446285
"NMB",0.02403987
"NMD3",-0.35786341
"NME1-NME2",-0.02224745
"NME1",-0.21339367
"NME2",0.00898259
"NME3",0.36426469
"NME4",-0.02221397
"NME6",0.10686067
"NME7",-0.10416655
"NMI",-0.38279248
"NMNAT1",0.32290761
"NMNAT2",-0.28123705
"NMRAL1",0.45771935
"NMRK1",0.09415026
"NMT1",-0.24606335
"NMT2",0.25832455
"NMU",4.33954207
"NNAT",0.73423086
"NNMT",-0.35756109
"NNT-AS1",-0.1882108
"NNT",-0.12689139
"NOA1",0.11738434
"NOB1",-0.21281141
"NOC2L",-0.35821197
"NOC3L",-0.00042497
"NOC4L",-0.47679357
"NOD1",0.02440856
"NOL10",-0.47328376
"NOL11",-0.56889084
"NOL12",-0.08455354
"NOL3",1.55105178
"NOL4L",-0.50901078
"NOL6",-0.76560558
"NOL7",-0.41893649
"NOL8",-0.14744237
"NOL9",-0.21554277
"NOLC1",-0.55195512
"NOM1",-0.1164625
"NOMO1",0.22354957
"NOMO2",0.23778304
"NOMO3",0.32122804
"NONO",-0.22172255
"NOP10",-0.31226761
"NOP14-AS1",1.19218182
"NOP14",-0.30173256
"NOP16",-0.80897546
"NOP2",-0.80919129
"NOP56",-0.59034619
"NOP58",-0.30631326
"NOP9",-0.58269885
"NOS1AP",0.12163543
"NOS3",-0.24034159
"NOSIP",0.16199289
"NOTCH1",0.02518743
"NOTCH2",0.00090622
"NOTCH2NL",-0.16534352
"NOTCH4",0.8155138
"NOVA1",-0.17538176
"NOVA2",0.56605448
"NOX4",0.11762841
"NPAS1",5.35696189
"NPAS2",0.08995525
"NPAT",-0.29839634
"NPC1",-0.13363848
"NPC2",0.02981724
"NPDC1",0.07238941
"NPEPL1",0.47868485
"NPEPPS",0.52675156
"NPHP1",0.21234217
"NPHP3-ACAD11",0.71146268
"NPHP3",0.99195228
"NPHP4",1.87478749
"NPIPA1",0.63734709
"NPIPA2",0.33194078
"NPIPA3",0.30412587
"NPIPA5",0.64002717
"NPIPA7",0.45814016
"NPIPA8",0.44714897
"NPIPB5",0.19541759
"NPLOC4",-0.22442498
"NPM1",-0.22941182
"NPM3",-0.72269423
"NPPA-AS1",-0.48058084
"NPPB",7.94371945
"NPR1",-0.63014521
"NPR2",0.97631171
"NPR3",7.44849227
"NPRL2",0.31541849
